review_id,user_id,business_id,stars_review,useful,funny,cool,text,date,sentiment,review_length,rating_category,name,city,state,stars_business,review_count,categories
6hjBWdJAXG9xpVIdAdgJBA,mFpUR2GX61QF9ovp9DneqQ,Rh5lgaOjOeHIUSBpI20llw,1,0,0,0,i decided to give this place a second chance since my first experience wasnt that great but after today i got to say i am definitely not coming back not sure how they are still in business i ordered steak tacos bit when i got them they were extremetly greasy and with hardly any onion or cilantro i had to ask for more when i got it it was mostly onion i had to ask the server for salsa for the tacos and all i got was one tiny cup she wasnt very attentive to the one table she had  us  my friend asked for the shrimp fajitas the vegetables werent cooked correctly and as last time thr rice was dry and the beans had no flavor this place is lucky i dont live here and take their business away with a real mexican restaurant i advised they up their game or someone else will do that,17-05-2018 22:31,negative,781,low,La Fuente Mexican Grill,Mansfield,NJ,3.5,79,"Event Planning & Services, Mexican, Restaurants, Caterers"
cId7k9R8JHvZQGhu5YbewA,I79WckpX60EX368ryWe09w,lZEYIL95hZsZS0vgaoR2aQ,5,0,0,0,we ordered over the internet pizza was ready right at the time promised very very good ,24-02-2011 05:17,positive,87,high,Pizza Fusion at Skypoint,Tampa,FL,3.5,113,"Sandwiches, Gluten-Free, Pizza, Restaurants"
vMzzBxs6gMTqalIt8MCdjQ,WNJauny7ZMd-2QKxXbUIVw,rQ2CSHRkZSn5WCu7OfVI-Q,5,2,0,1,i really could hardly believe my ears when i not only got an appointment the next day as a new patient but also received an eye exam including changes to my prescription and walked out with glasses the same day i was told my prescription was in stock and that they would be ready in 25 minutes sooooo worth the commute to the city from new jersey which i did because of the consistently amazing reviews i really cant believe i am waiting for my glasses right now every other place ive been over the years has been a long wait to even get seen and then another 7 10 days on top of that for the glasses the selection here is so trendy as well tory burch dior prada tom ford gucci and more  i had basically a personal shopper walk around with a tray for me holding the glasses as i tried them on he was so awesome and did not push me to get the most expensive ones he really seemed like he cared and tried to get to know what i was looking for to offer genuine suggestions and he actually encouraged the cheaper one jeff is the best i really cant believe this place  i have nothing but exceeded expectations leaving here they take vba insurance so for 130 bucks i walked out same day with a new eye exam prescription changes and tory burch glasses can it get any better ,03-01-2017 17:39,positive,1267,high,Trend Eye Care,Philadelphia,PA,5.0,193,"Health & Medical, Shopping, Fashion, Optometrists, Accessories, Eyewear & Opticians"
VPjhiGmP9JzPwCSAT5m6Zw,OH_Ju1BoHG_nnaln_UOjjQ,TfcpJBiFNnDaochnmp4M2Q,4,0,0,0,this is a lovely establishment the staff were warm and welcoming and the wait area on the porch is shaded its homey inside and black art covers the walls the vibe earned it another star for me im going to preface my food review by saying that i didnt have the pancakes those seem to be where its at im doing low carb so none of that for me i had the meat lovers omelet it was stuffed with meat i also want to note that all of the meat is turkey no pork here the issue with my omelet was the cheese it wasnt evenly distributed and kinda congealed so it felt kinda dry with mostly just meat stuffed into egg the coffee was good i had the southern pecan if ho back for the vibe probably wouldnt have an omelet again,17-07-2016 16:53,positive,712,high,The Garden Brunch Cafe,Nashville,TN,4.5,712,"Cafes, Restaurants, American (Traditional), Breakfast & Brunch"
PKt1huO4WEPVpe3KWRR5xA,d2e3bUwNe0my5vxxLLGXIg,IH_ZeeTh13jQURbh31d1Kw,5,0,0,0,"im writing this review because i have a huge craving for an egg and cheese right now  im a penn alum from several years back and a day of studyingcramming for an exam would always start off right with the perfect blend of the egg cheese and hot sauce on a toasted roll  i wish i could get one now but ive unfortunately moved to the west coast and cant quite make it over  definitely the best place to get breakfast around there  cant wait to make it back

their cheesesteaks i can still remember as well  they are on the dry side  this place is where i went for breakfast only",20-02-2011 04:46,positive,576,high,Bui's,Philadelphia,PA,4.5,104,"Restaurants, Vietnamese, Sandwiches, Local Flavor, Food Stands"
ngF7wbTKya6eNWnxer36tg,Auoy2T-0IEiDeY0WMx_szw,HSzSGdcNaU7heQe0NJibIg,4,0,0,1,came here last night for first friday sat at the bar with a bunch of friends found the bar staff and management to be very friendly great selection of beers and nice selection of food ordered wings a chicken sandwich and a milan salad everything was good no complaints except the wings were super hot spicy so if youre sensitive to that be aware they can be prepared other ways tho it was a bit pricey for bar food but the quality was good and we enjoyed the atmosphere,07-09-2013 16:37,positive,469,high,Gillane's Bar & Grille,Ardmore,PA,3.0,23,"Nightlife, Irish, Pubs, Restaurants, American (Traditional), Bars"
XgxZbZstxBUTe-KfmmQqSA,mK3C8PnH4zk146VaveW3pg,XleIcqVgh3iBeM4s-rdy6g,5,0,0,0,javans is the best  i have been going here for a loooong time  i usually get the chicken club which is super good but some times i get the philly when im not feeling like chicken  not really close to authentic philly style but still tasty  the other thing they have going for the them is the fries  they are amazing,20-07-2012 03:40,positive,315,high,Javan's,Goleta,CA,4.0,30,"Sandwiches, Restaurants, Burgers"
XuXm7apAV5c2pEVBS5wbRA,nNg336IgkYLonNvaMnpUew,2zocwC7qMq3LsivPn9Z-Eg,5,0,0,0,love this local roaster and coffee shop  well worth stopping by for good espresso and conversation  baristas are fun too,15-07-2017 15:33,positive,120,high,Gryphon Cafe,Wayne,PA,4.0,195,"Restaurants, Coffee Roasteries, Coffee & Tea, Food, Breakfast & Brunch, Sandwiches, Bagels"
y3pllufK0SwmPrnSPMhMzA,2mRx7kBc6iZ3MTfLIEgkXA,MquXDiKxHB4NYv5r5KodOQ,4,0,0,0,"great food i always order the southwest chicken salad which is always very fresh and filling along with the best sweet potato fries theyre the best if you dont like them overly fried 
ive also tried the acai smoothie and the elvis acai bowl both were very good as well the only thing i didnt like about the acai bowl was that it was already a mix they made themselves it wasnt customizable for instance you cant choose the type of milk you wanted it to be made with because its already a premade gelato like mixture but if youre not too picky then that wouldnt matter and it tasted great 
another thing that i thought was strange last time i went was there were no napkins anywhere in the whole restaurant we kept seeing the employees clean up the soda machine area but never replaced the napkins when we finally found an employee we asked for some napkins and got them right away but really no napkins anywhere just weird",07-01-2016 16:38,positive,922,high,B.GOOD,Marlton,NJ,3.5,146,"Restaurants, Fast Food, American (New), Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Salad, Gluten-Free, Sandwiches, Food, American (Traditional)"
z3jwH0H7Je-nCUrKwW49xw,38WLn9bkINunSC5gW0dczw,64i1xdiU1Wvo1Cuu0erFGA,5,1,0,0,"i have been going to megu sushi for over 11 years now  it is by far the best sushi around
the quality is always great and fresh  i will not go anywhere else for sushi nobody else even comes close",21-07-2016 21:33,positive,195,high,Megu Sushi & Hibachi,Cherry Hill,NJ,3.5,121,"Japanese, Restaurants, Sushi Bars, Teppanyaki"
BK5YwRMFfivzwGivh8vV-A,462LweIGqE9ScLKoium_6g,EtKSTHV5Qx_Q7Aur9o4kQQ,2,0,0,0,went there for lunch daughter was craving a burger so we complied i had high hopes for this place alas was disappointed my husband had the bbq pork sammy which was very good great beer and drink selectionhowever i had the overly hyped burger for 13 you get a basic burger for 3 more i got half a slice of cheese the burger was cooked fine but was totally bland for 16 i would expect a lot better the fries an extra 5 for a cone were also lacking  very underseasoned the service was good enough but considering we were one of three groups youd think they would have worked harder for a tip should have gone to shake shack down the road for 13 of the price and a better burger,19-02-2015 15:59,negative,674,low,Village Whiskey,Philadelphia,PA,4.0,1553,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)"
H86uKqFwaRpTUBShSE4dYg,6si_gcvemegbCwjDVKCDvQ,FSTmzo0beEVMRMSArcp4fg,4,0,0,0,this is a good alternative to chipotle they have a huge selection of salsas and hot sauces we had chicken tacos and veggie quesadilla food tastes good service is quick and good seating options indoor and outdoor,28-06-2014 16:01,positive,211,high,Lime Fresh Mexican Grill,Tampa,FL,3.0,106,"Mexican, Restaurants"
GeoLeC7XrLYgli_dB_vEfA,OrPiXKnpFYHyBLl7zpNZUw,TghRoAMx43V-9l7mH-SENg,2,0,0,0,too expensive for the quality ordered lobster tail which was huge but overpriced drinks were watered down i would go elsewhere for seafood,20-04-2014 02:30,negative,138,low,Crabby Bills Clearwater Beach,Clearwater Beach,FL,3.5,408,"Food, Seafood, Restaurants, American (Traditional), Specialty Food, Seafood Markets"
yJckn7RghdkFEy5aDcCw4A,Q2ewB7I2TriCLSsogXMN9w,MbzgGsMQpGyVrUJXi_Jw0Q,4,0,0,0,"i did not dine in so this review is for the food only 
i got a small serving of the hawaiian bread french toast and the prisoner egg 

the french toast came soggy because they already add the syrup if youre calling in definitely ask for it on the side i can only imagine how much more delicious it would be if it werent bogged down with syrup 

i had high hopes for the prisoner egg dish 
the muffin is nice if not a bit dry the egg was overcooked but i still really liked the idea of it and i would order again just to see if it could taste any different 

parking can be a pain on the weekends you may find yourself circling the blocks several times on the lookout for a 15 mins green spot good luck ",27-09-2015 21:12,positive,702,high,Dawn Patrol,Santa Barbara,CA,4.0,807,"Coffee & Tea, Breakfast & Brunch, Restaurants, American (New), Food"
hdfZXZMZiTZ7RwIPyp-Duw,vnw_XDVRSmYRDRYS10MpLA,W8Z4rXYkmZlEVSaxIVjyvg,4,0,0,0,the food service and cleanliness was all there we were greeted by a very friendly staff the food was very tasteful and very filling the menu had a good variety of items to choose from and at a reasonable price their warm apple pie was absolutely fabulous you know its fabulous when you can taste the butter in between the flaky crust we will be back,10-06-2018 02:54,positive,349,high,Redwood Rotisserie + Grill,Reno,NV,4.0,464,"Restaurants, American (New), Cocktail Bars, Bars, Tex-Mex, American (Traditional), Barbeque, Nightlife"
_Rh3xAmwR3E_oGKnw9BfKQ,bekKaDhEwzBDCULvqp3j1Q,VJEzpfLs_Jnzgqh5A_FVTg,4,0,0,0,went with a few people for a dinner of appetizers and i ate veggieonly ones the papaya salad and the mango sticky rice in particular were tasty fantastic service nice ambience reasonable prices,01-06-2015 01:56,positive,193,high,Jasmine Rice - Rittenhouse,Philadelphia,PA,3.5,307,"Soup, Thai, Restaurants, Salad"
LTYqbdDSEmU7nPWLVFos2Q,DbusbOHGTCg8nlTbI2ZcCA,5pCDh3Tq3WzQau79hfJbsA,5,0,0,2,what a pleasant surprise fantastic new york style pizza in nashville delivered on time as promised and still hot despite a huge rain storm large pepperoni pizza was fresh with high quality cheese the stromboli was stuffed with high quality meats and cheese the wings were prepared well done as requested great job guys,21-05-2018 01:52,positive,318,high,Brooklyn Pizza & Cafe,Nashville,TN,3.5,69,"Restaurants, Chicken Wings, Food Delivery Services, Pizza, Italian, Sandwiches, Greek, Food"
